Player;Role;Team;Opponent Team;Opponent Player;Date;Round;Day;Patch;Stage;No Game;all Games;Format;Game of day;Side;Time;Ban;Ban Opponent;Pick;Pick Opponent;Champion;Champion Opponent;Outcome;Kills Team;Turrets Team;Dragon Team;Baron Team;Level;Kills;Deaths;Assists;KDA;CS;CS in Teams Jungle;CS in Enemy Jungle;CSM;Golds;GPM;GOLD%;Vision Score;Wards placed;Wards destroyed;Control Wards Purchased;Detector Wards Placed;VSPM;WPM;VWPM;WCPM;VS%;Total damage to Champion;Physical Damage;Magic Damage;True Damage;DPM;DMG%;K+A Per Minute;KP%;Solo kills;Double kills;Triple kills;Quadra kills;Penta kills;GD@15;CSD@15;XPD@15;LVLD@15;Objectives Stolen;Damage dealt to turrets;Damage dealt to buildings;Total heal;Total Heals On Teammates;Damage self mitigated;Total Damage Shielded On Teammates;Time ccing others;Total Time CC Dealt;Total damage taken;Total Time Spent Dead;Consumables purchased;Items Purchased;Shutdown bounty collected;Shutdown bounty lost
Viper;ADCARRY;HLE;GEN;Peyz;05.10.2024;3;3;v14.18;Worlds_MainEvent_24;3;3;3;5;Blue;00:33:11;Kalista;Ezreal;Varus;Leona;Varus;Twitch;Loss;9;3;1;0;16;3;5;4;1.4;320;6;0;9.6;13197;398;0.236;47;25;11;9;9;1.42;0.75;0.27;0.33;0.154;20121;15487;1767;2867;606;0.281;0.21;0.778;0;0;0;0;0;-323;15;-57;0;0;770;770;2109;0;12664;0;18;391;21140;120;10;28;0;50
Delight;SUPPORT;HLE;GEN;Lehends;05.10.2024;3;3;v14.18;Worlds_MainEvent_24;3;3;3;5;Blue;00:33:11;Ashe;Kaisa;Renata_Glasc;Twitch;Renata_Glasc;Leona;Loss;9;3;1;0;11;1;4;8;2.3;51;0;0;1.5;7701;232;0.138;143;85;26;19;17;4.31;2.56;0.57;0.78;0.467;3271;623;2390;258;99;0.046;0.27;1;0;0;0;0;0;249;7;410;0;0;805;805;5405;3607;11487;2875;12;171;14728;102;21;37;0;0
Kiin;TOP;GEN;HLE;Doran;05.10.2024;3;3;v14.18;Worlds_MainEvent_24;3;3;3;5;Red;00:33:11;Jax;Skarner;Aurora;Smolder;Aurora;Gnar;Win;22;8;4;1;18;6;2;11;8.5;264;6;0;8;14141;426;0.212;40;10;10;5;5;1.21;0.3;0.15;0.3;0.112;16343;1820;14128;395;493;0.198;0.51;0.773;0;0;1;0;0;464;26;1310;1;0;4382;4382;5446;0;11235;0;8;287;19608;55;8;26;50;0
Canyon;JUNGLE;GEN;HLE;Peanut;05.10.2024;3;3;v14.18;Worlds_MainEvent_24;3;3;3;5;Red;00:33:11;Yone;Nidalee;Nocturne;Sejuani;Nocturne;Sejuani;Win;22;8;4;1;16;1;1;11;12;231;203;0;7;11769;355;0.176;84;36;23;11;11;2.53;1.08;0.33;0.69;0.235;8655;7185;501;969;261;0.105;0.36;0.545;0;0;0;0;0;376;15;78;0;0;3038;3038;26526;0;25829;0;138;549;37682;25;12;28;0;0
Chovy;MID;GEN;HLE;Zeka;05.10.2024;3;3;v14.18;Worlds_MainEvent_24;3;3;3;5;Red;00:33:11;Maokai;Ziggs;Ahri;Gnar;Ahri;Smolder;Win;22;8;4;1;18;6;0;7;Perfect_KDA;346;4;0;10.4;16395;494;0.246;62;24;21;3;3;1.87;0.72;0.09;0.63;0.173;21916;1967;16276;3673;660;0.266;0.39;0.591;2;0;0;1;0;-496;-4;-399;0;0;5910;5910;8684;0;12505;0;8;83;18216;0;6;27;350;0
Peyz;ADCARRY;GEN;HLE;Viper;05.10.2024;3;3;v14.18;Worlds_MainEvent_24;3;3;3;5;Red;00:33:11;Ezreal;Kalista;Leona;Varus;Twitch;Varus;Win;22;8;4;1;17;8;1;9;17;326;42;0;9.8;16522;498;0.248;49;18;14;7;6;1.48;0.54;0.21;0.42;0.137;31203;27237;10;3956;940;0.379;0.51;0.773;0;1;0;0;0;323;-15;57;0;0;7068;7068;11103;0;9874;0;14;508;17011;42;9;30;0;350
Lehends;SUPPORT;GEN;HLE;Delight;05.10.2024;3;3;v14.18;Worlds_MainEvent_24;3;3;3;5;Red;00:33:11;Kaisa;Ashe;Twitch;Renata_Glasc;Leona;Renata_Glasc;Win;22;8;4;1;12;1;5;10;2.2;35;0;0;1.1;7928;239;0.119;123;65;16;19;19;3.71;1.96;0.57;0.48;0.344;4269;917;2645;707;129;0.052;0.33;0.5;0;0;0;0;0;-249;-7;-410;0;0;206;206;1662;0;21414;1542;18;47;17704;82;21;35;0;0
369;TOP;TES;FNC;Oscarinin;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;1;Blue;00:24:09;Orianna;Aurora;Yone;Smolder;Rumble;KSante;Win;12;9;2;1;14;1;3;5;2;173;0;0;7.2;8697;360;0.178;20;10;1;3;3;0.83;0.41;0.12;0.04;0.105;10329;136;10193;0;428;0.151;0.25;0.5;0;0;0;0;0;-251;7;-103;0;0;1425;1425;750;0;12203;0;9;257;11703;77;5;15;0;0
Tian;JUNGLE;TES;FNC;Razork;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;1;Blue;00:24:09;LeBlanc;Ziggs;Rumble;Skarner;Sejuani;Skarner;Win;12;9;2;1;13;2;0;9;Perfect_KDA;146;133;0;6;8855;367;0.181;39;9;8;7;7;1.61;0.37;0.29;0.33;0.204;7580;4514;2580;486;314;0.111;0.46;0.917;0;0;0;0;0;-282;-14;-889;-1;0;4146;4146;12004;0;30675;791;22;332;25484;0;8;20;0;0
Creme;MID;TES;FNC;Humanoid;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;1;Blue;00:24:09;Vi;Zyra;Sejuani;KSante;Yone;Smolder;Win;12;9;2;1;15;5;1;4;9;250;16;0;10.4;12413;514;0.254;23;7;4;4;3;0.95;0.29;0.17;0.17;0.12;25555;18266;3482;3807;1058;0.374;0.37;0.75;1;0;0;0;0;1495;17;1001;1;0;4358;4358;9331;0;24800;0;23;217;22773;35;5;24;0;200
JackeyLove;ADCARRY;TES;FNC;Noah;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;1;Blue;00:24:09;Kaisa;Ashe;Miss_Fortune;Jhin;Miss_Fortune;Jhin;Win;12;9;2;1;14;4;1;5;9;242;4;0;10;11964;495;0.245;19;8;3;3;3;0.79;0.33;0.12;0.12;0.099;20934;20351;341;242;867;0.306;0.37;0.75;0;0;0;0;0;598;0;-792;-1;0;12712;12712;2343;0;7443;0;5;75;6198;20;4;22;0;50
meiko;SUPPORT;TES;FNC;Jun;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;1;Blue;00:24:09;Lucian;Kalista;Rell;Leona;Rell;Leona;Win;12;9;2;1;11;0;1;10;10;40;0;0;1.7;6978;289;0.143;90;35;17;12;12;3.73;1.45;0.5;0.7;0.471;4011;718;2513;780;166;0.059;0.41;0.833;0;0;0;0;0;582;3;446;0;0;3048;3048;453;0;9935;0;23;56;8129;0;14;26;0;0
Oscarinin;TOP;FNC;TES;369;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;1;Red;00:24:09;Aurora;Orianna;Smolder;Yone;KSante;Rumble;Loss;6;1;1;0;13;2;3;3;1.7;173;0;0;7.2;8230;341;0.212;19;10;3;3;2;0.79;0.41;0.12;0.12;0.119;4609;3817;426;366;191;0.103;0.21;0.833;0;0;0;0;0;251;-7;103;0;0;1110;1110;1880;0;29219;0;16;900;20131;60;4;15;200;0
Razork;JUNGLE;FNC;TES;Tian;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;1;Red;00:24:09;Ziggs;LeBlanc;Skarner;Rumble;Skarner;Sejuani;Loss;6;1;1;0;12;2;4;2;1;156;146;0;6.5;7910;328;0.204;32;4;4;2;2;1.33;0.17;0.08;0.17;0.2;11034;7359;3073;602;457;0.245;0.17;0.667;0;0;0;0;0;282;14;889;1;0;0;0;10472;0;39321;0;33;633;30552;123;3;17;0;0
Humanoid;MID;FNC;TES;Creme;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;1;Red;00:24:09;Zyra;Vi;KSante;Sejuani;Smolder;Yone;Loss;6;1;1;0;13;1;3;2;1;228;6;0;9.4;8997;373;0.232;16;7;4;1;0;0.66;0.29;0.04;0.17;0.1;16724;11424;3468;1832;693;0.372;0.12;0.5;0;0;0;0;0;-1495;-17;-1001;-1;0;2134;2134;4517;0;11545;0;5;209;19834;106;2;18;0;0
Noah;ADCARRY;FNC;TES;JackeyLove;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;1;Red;00:24:09;Ashe;Kaisa;Jhin;Miss_Fortune;Jhin;Miss_Fortune;Loss;6;1;1;0;13;1;0;2;Perfect_KDA;221;1;0;9.2;8744;362;0.225;22;12;6;5;4;0.91;0.5;0.21;0.25;0.138;8854;7289;1445;120;367;0.197;0.12;0.5;0;0;0;0;0;-598;0;792;1;0;61;61;2687;0;3630;0;21;138;8005;0;6;20;50;0
Jun;SUPPORT;FNC;TES;meiko;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;1;Red;00:24:09;Kalista;Lucian;Leona;Rell;Leona;Rell;Loss;6;1;1;0;9;0;2;3;1.5;27;0;0;1.1;4910;203;0.127;71;37;7;8;6;2.94;1.53;0.33;0.29;0.444;3733;605;2674;454;155;0.083;0.12;0.5;0;0;0;0;0;-582;-3;-446;0;0;0;0;1108;206;11142;555;23;57;9190;25;10;22;0;0
Bin;TOP;BLG;T1;Zeus;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;2;Blue;00:34:09;Orianna;Yone;Ahri;Gnar;Jax;Gnar;Loss;13;3;1;0;17;3;4;3;1.5;263;12;0;7.7;12544;367;0.22;43;19;8;6;6;1.26;0.56;0.18;0.23;0.13;17160;5712;10638;810;502;0.202;0.18;0.462;1;0;0;0;0;-808;-12;-305;-1;0;4598;4598;2664;0;35538;0;12;192;23817;152;8;27;250;100
Wei;JUNGLE;BLG;T1;Oner;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;2;Blue;00:34:09;Sejuani;Aurora;Skarner;Vi;Skarner;Vi;Loss;13;3;1;0;15;1;4;11;3;188;159;0;5.5;10408;305;0.183;63;14;20;11;11;1.84;0.41;0.32;0.59;0.19;17677;9759;7430;488;518;0.208;0.35;0.923;0;0;0;0;0;-69;1;-517;-1;0;44;44;12114;0;64998;0;45;889;38236;88;12;25;0;0
Knight;MID;BLG;T1;Faker;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;2;Blue;00:34:09;Nocturne;Smolder;Jax;Sylas;Ahri;Sylas;Loss;13;3;1;0;17;8;2;3;5.5;273;7;0;8;14241;417;0.25;44;7;12;4;4;1.29;0.2;0.12;0.35;0.133;25291;2714;16439;6138;741;0.298;0.32;0.846;0;2;0;0;0;-45;6;297;0;0;1038;1038;4473;0;10459;0;21;140;16731;100;7;21;450;250
Elk;ADCARRY;BLG;T1;Gumayusi;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;2;Blue;00:34:09;Renata_Glasc;Kaisa;Poppy;Kalista;Jhin;Kalista;Loss;13;3;1;0;16;1;3;5;2;320;12;0;9.4;12762;374;0.224;52;16;9;7;6;1.52;0.47;0.2;0.26;0.157;15796;13351;1982;463;463;0.186;0.18;0.462;0;0;0;0;0;-547;-14;302;0;0;1225;1225;3715;0;8880;0;26;133;14244;144;9;26;0;150
ON;SUPPORT;BLG;T1;Keria;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;2;Blue;00:34:09;Ashe;Ziggs;Jhin;Neeko;Poppy;Neeko;Loss;13;3;1;0;12;0;5;4;0.8;31;0;0;0.9;7045;206;0.124;129;68;14;20;16;3.78;1.99;0.59;0.41;0.39;8893;6300;1623;970;260;0.105;0.12;0.308;0;0;0;0;0;-475;1;-974;-1;0;217;217;1146;209;21190;0;36;184;18454;94;23;38;0;0
Zeus;TOP;T1;BLG;Bin;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;2;Red;00:34:09;Yone;Orianna;Gnar;Ahri;Gnar;Jax;Win;18;8;4;1;18;4;2;9;6.5;267;16;0;7.8;14472;424;0.22;34;11;2;6;6;1;0.32;0.18;0.06;0.111;23116;16448;6418;250;677;0.273;0.38;0.722;1;1;0;0;0;808;12;305;1;0;10253;10253;2910;0;28365;0;28;398;24205;90;7;25;100;100
Oner;JUNGLE;T1;BLG;Wei;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;2;Red;00:34:09;Aurora;Sejuani;Vi;Skarner;Vi;Skarner;Win;18;8;4;1;17;2;2;14;8;233;217;0;6.8;13292;389;0.202;47;10;11;8;8;1.38;0.29;0.23;0.32;0.154;13359;12763;0;596;391;0.158;0.47;0.889;0;1;0;0;0;69;-1;517;1;0;3078;3078;22417;0;49595;0;23;307;35155;16;9;25;0;100
Faker;MID;T1;BLG;Knight;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;2;Red;00:34:09;Smolder;Nocturne;Sylas;Jax;Sylas;Ahri;Win;18;8;4;1;17;5;5;3;1.6;272;0;0;8;13339;391;0.203;54;20;11;4;4;1.58;0.59;0.12;0.32;0.177;15864;708;14269;887;465;0.187;0.23;0.444;0;0;0;0;0;45;-6;-297;0;0;2736;2736;3830;0;21882;0;23;454;30060;145;5;22;50;250
Gumayusi;ADCARRY;T1;BLG;Elk;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;2;Red;00:34:09;Kaisa;Renata_Glasc;Kalista;Poppy;Kalista;Jhin;Win;18;8;4;1;16;5;3;8;4.3;330;16;0;9.7;15705;460;0.239;53;14;18;6;6;1.55;0.41;0.18;0.53;0.174;19427;15300;3963;164;569;0.229;0.38;0.722;0;2;0;0;0;547;14;-302;0;0;4775;4775;6238;0;11396;0;13;395;15912;123;9;27;350;250
Keria;SUPPORT;T1;BLG;ON;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;2;Red;00:34:09;Ziggs;Ashe;Neeko;Jhin;Neeko;Poppy;Win;18;8;4;1;13;2;1;14;16;40;1;0;1.2;8838;259;0.135;117;60;13;18;18;3.43;1.76;0.53;0.38;0.384;12994;1358;11378;258;380;0.153;0.47;0.889;0;0;0;0;0;475;-1;974;1;0;1294;1294;2216;514;6274;0;31;106;14292;38;21;36;0;0
Bwipo;TOP;FLY;PSG;Azhi;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;3;Blue;00:44:20;Rumble;Orianna;Renekton;Vi;Renekton;Gnar;Win;15;10;4;3;18;1;3;7;2.7;372;4;0;8.4;17998;406;0.213;69;25;20;9;9;1.56;0.56;0.2;0.45;0.175;20596;14517;5597;482;465;0.204;0.18;0.533;0;0;0;0;0;1385;29;1809;1;0;6424;6424;14995;0;87370;0;22;342;58624;53;14;33;0;50
Inspired;JUNGLE;FLY;PSG;JunJia;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;3;Blue;00:44:20;Aurora;Yone;Ivern;Ahri;Ivern;Vi;Win;15;10;4;3;18;1;1;14;15;259;240;0;5.8;15868;358;0.188;38;4;15;3;2;0.86;0.09;0.07;0.34;0.096;9182;2168;4965;2049;207;0.091;0.34;1;0;0;0;0;0;179;-7;-451;-1;0;1853;1853;15612;9489;9949;29775;43;320;8647;36;4;17;0;0
Quad;MID;FLY;PSG;Maple;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;3;Blue;00:44:20;Jax;Kalista;Cassiopeia;Gnar;Cassiopeia;Ahri;Win;15;10;4;3;18;2;2;9;5.5;355;32;0;8;17059;385;0.202;49;17;9;13;13;1.11;0.38;0.29;0.2;0.124;16772;323;16424;25;378;0.166;0.25;0.733;0;0;0;0;0;-880;-1;-871;-1;0;2691;2691;10411;0;18054;0;33;612;19932;48;16;40;250;50
Massu;ADCARRY;FLY;PSG;Betty;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;3;Blue;00:44:20;Ziggs;Ashe;Kaisa;Jhin;Kaisa;Jhin;Win;15;10;4;3;18;10;1;3;13;436;27;0;9.8;22501;508;0.266;45;14;14;2;2;1.02;0.32;0.05;0.32;0.114;49717;12099;36708;910;1121;0.492;0.29;0.867;0;0;0;2;0;-696;-7;-410;0;0;14427;14427;4553;0;16852;0;1;143;13469;39;7;25;700;50
Busio;SUPPORT;FLY;PSG;Woody;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;3;Blue;00:44:20;Rakan;Xayah;Leona;Rell;Leona;Rell;Win;15;10;4;3;16;1;3;11;4;50;0;0;1.1;11006;248;0.13;193;99;26;28;26;4.35;2.23;0.63;0.59;0.49;4703;874;2815;1014;106;0.047;0.27;0.8;0;0;0;0;0;-391;-3;-653;-1;0;642;642;997;0;23432;2870;23;58;13997;76;31;48;0;0
Azhi;TOP;PSG;FLY;Bwipo;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;3;Red;00:44:20;Orianna;Rumble;Vi;Renekton;Gnar;Renekton;Loss;10;4;2;0;18;0;2;3;1.5;377;17;0;8.5;16079;363;0.216;60;17;17;7;7;1.35;0.38;0.16;0.38;0.146;17010;11936;5074;0;384;0.194;0.07;0.3;0;0;0;0;0;-1385;-29;-1809;-1;0;2405;2405;3459;0;29958;0;23;734;24490;57;8;29;0;100
JunJia;JUNGLE;PSG;FLY;Inspired;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;3;Red;00:44:20;Yone;Aurora;Ahri;Ivern;Vi;Ivern;Loss;10;4;2;0;17;1;5;5;1.2;259;232;0;5.8;13451;303;0.18;77;20;20;20;18;1.74;0.45;0.45;0.45;0.187;7124;6570;0;554;161;0.081;0.14;0.6;0;0;0;0;0;-179;7;451;1;0;887;887;18686;0;66107;0;25;455;47199;175;20;44;50;0
Maple;MID;PSG;FLY;Quad;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;3;Red;00:44:20;Kalista;Jax;Gnar;Cassiopeia;Ahri;Cassiopeia;Loss;10;4;2;0;18;5;2;4;4.5;377;0;0;8.5;17412;393;0.234;78;34;13;11;11;1.76;0.77;0.25;0.29;0.189;30910;1141;21580;8189;697;0.353;0.2;0.9;0;1;0;0;0;880;1;871;1;0;2654;2654;5418;0;11969;0;27;139;21245;52;14;34;50;300
Betty;ADCARRY;PSG;FLY;Massu;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;3;Red;00:44:20;Ashe;Ziggs;Jhin;Kaisa;Jhin;Kaisa;Loss;10;4;2;0;18;2;2;5;3.5;450;13;0;10.2;18050;407;0.242;44;14;14;4;4;0.99;0.32;0.09;0.32;0.107;28415;23010;5297;108;641;0.324;0.16;0.7;0;0;0;0;0;696;7;410;0;0;2157;2157;6459;0;9875;0;32;247;17820;57;7;24;0;550
Woody;SUPPORT;PSG;FLY;Busio;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;3;Red;00:44:20;Xayah;Rakan;Rell;Leona;Rell;Leona;Loss;10;4;2;0;14;2;4;6;2;35;0;0;0.8;9557;216;0.128;153;96;12;26;24;3.45;2.17;0.59;0.27;0.371;4204;439;2728;1037;95;0.048;0.18;0.8;0;0;0;0;0;391;3;653;1;0;381;381;2052;0;30085;1659;20;59;19148;96;30;46;50;0
Brokenblade;TOP;G2;WBG;Breathe;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;4;Blue;00:35:38;Ashe;Brand;Kalista;Jhin;Galio;Rumble;Win;17;11;3;1;18;3;1;9;12;296;0;0;8.3;14705;413;0.213;56;19;3;6;6;1.57;0.53;0.17;0.08;0.163;20610;375;20018;217;578;0.25;0.34;0.706;1;0;0;0;0;974;10;890;1;0;3969;3969;5051;0;69536;1142;38;142;28983;53;9;28;100;300
Yike;JUNGLE;G2;WBG;Tarzan;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;4;Blue;00:35:38;Poppy;Yone;Galio;Rumble;Nocturne;Maokai;Win;17;11;3;1;16;3;2;6;4.5;227;198;0;6.4;13337;374;0.194;71;30;15;8;8;1.99;0.84;0.22;0.42;0.207;13230;11184;799;1247;371;0.161;0.25;0.529;0;1;0;0;0;633;2;-692;-1;0;4848;4848;22962;0;28082;0;115;531;36624;87;8;33;50;200
Caps;MID;G2;WBG;xiaohu;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;4;Blue;00:35:38;Nidalee;Aurora;Rell;Leona;Orianna;Tristana;Win;17;11;3;1;17;4;3;12;5.3;255;10;0;7.2;13763;386;0.2;19;10;4;4;3;0.53;0.28;0.11;0.11;0.055;21345;706;20560;79;599;0.259;0.45;0.941;0;0;0;0;0;520;22;850;1;0;5713;5713;4198;1685;16424;2982;22;374;17537;127;7;22;400;50
Hans Sama;ADCARRY;G2;WBG;Light;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;4;Blue;00:35:38;Skarner;Yasuo;Orianna;Maokai;Kalista;Jhin;Win;17;11;3;1;18;7;2;6;6.5;349;30;0;9.8;18190;510;0.264;58;24;13;5;5;1.63;0.67;0.14;0.36;0.169;23373;20323;2046;1004;656;0.284;0.36;0.765;0;1;0;0;0;687;-9;-569;0;0;8690;8690;8707;0;13313;0;15;392;18273;45;7;25;50;50
Mikyx;SUPPORT;G2;WBG;Crisp;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;4;Blue;00:35:38;Lucian;Vi;Nocturne;Tristana;Rell;Leona;Win;17;11;3;1;13;0;4;10;2.5;35;0;0;1;8910;250;0.129;139;73;20;18;18;3.9;2.05;0.51;0.56;0.405;3794;961;2123;710;106;0.046;0.28;0.588;0;0;0;0;0;724;-1;-208;-1;0;1779;1779;4969;2191;30279;2401;24;73;21295;121;20;34;0;0
Breathe;TOP;WBG;G2;Brokenblade;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;4;Red;00:35:38;Brand;Ashe;Jhin;Kalista;Rumble;Galio;Loss;12;4;2;1;18;1;3;7;2.7;292;19;0;8.2;13010;365;0.214;40;19;7;8;7;1.12;0.53;0.22;0.2;0.127;17515;541;16792;182;492;0.207;0.22;0.667;0;0;0;0;0;-974;-10;-890;-1;0;0;0;4919;0;25680;0;18;447;23691;59;10;32;0;100
Tarzan;JUNGLE;WBG;G2;Yike;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;4;Red;00:35:38;Yone;Poppy;Rumble;Galio;Maokai;Nocturne;Loss;12;4;2;1;15;2;4;7;2.3;151;130;0;4.2;10054;282;0.165;59;17;13;12;10;1.66;0.48;0.34;0.36;0.187;10928;898;9251;779;307;0.129;0.25;0.75;0;0;0;0;0;-633;-2;692;1;0;0;0;18903;0;46151;1039;48;585;36834;119;13;33;50;0
xiaohu;MID;WBG;G2;Caps;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;4;Red;00:35:38;Aurora;Nidalee;Leona;Rell;Tristana;Orianna;Loss;12;4;2;1;18;4;4;3;1.8;312;20;0;8.8;15279;429;0.251;55;15;23;5;5;1.54;0.42;0.14;0.65;0.175;25973;24465;1294;214;729;0.307;0.2;0.583;0;0;0;0;0;-520;-22;-850;-1;0;8958;8958;8542;0;17328;0;5;128;23643;142;7;29;200;100
Light;ADCARRY;WBG;G2;Hans Sama;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;4;Red;00:35:38;Yasuo;Skarner;Maokai;Orianna;Jhin;Kalista;Loss;12;4;2;1;16;5;2;7;6;320;30;0;9;14719;413;0.242;21;8;6;2;2;0.59;0.22;0.06;0.17;0.067;25677;22045;3346;286;721;0.304;0.34;1;0;1;0;0;0;-687;9;569;0;0;425;425;6248;0;10552;0;24;231;14046;101;3;23;350;400
Crisp;SUPPORT;WBG;G2;Mikyx;06.10.2024;3;4;v14.18;Worlds_MainEvent_24;1;1;1;4;Red;00:35:38;Vi;Lucian;Tristana;Nocturne;Leona;Rell;Loss;12;4;2;1;13;0;4;6;1.5;55;4;0;1.5;7870;221;0.129;140;66;29;22;20;3.93;1.85;0.62;0.81;0.444;4401;1111;2206;1084;124;0.052;0.17;0.5;0;0;0;0;0;-724;1;208;1;0;0;0;1439;0;24762;831;24;75;19437;101;25;39;0;0
Myrwn;TOP;MDK;GAM;Kiaya;07.10.2024;3;5;v14.18;Worlds_MainEvent_24;1;3;3;1;Blue;00:20:58;Shyvana;Skarner;Yone;Akali;Gnar;Smolder;Win;15;10;0;0;13;4;1;2;6;150;3;0;7.2;8492;405;0.195;14;7;2;1;1;0.67;0.33;0.05;0.1;0.095;9431;7409;1918;104;450;0.176;0.29;0.4;0;0;1;0;0;-1010;-23;-329;-1;0;6693;6693;667;0;7856;0;11;260;12178;28;2;16;0;0
Elyoya;JUNGLE;MDK;GAM;Levi;07.10.2024;3;5;v14.18;Worlds_MainEvent_24;1;3;3;1;Blue;00:20:58;Rumble;Nidalee;Maokai;Wukong;Maokai;Wukong;Win;15;10;0;0;12;2;1;8;10;130;120;0;6.2;7906;377;0.182;27;7;5;5;5;1.29;0.33;0.24;0.24;0.184;6519;725;5562;232;311;0.121;0.48;0.667;0;0;0;0;0;519;12;316;0;0;3615;3615;11912;0;19607;320;30;439;18830;28;6;16;0;0
Fresskowy;MID;MDK;GAM;Emo;07.10.2024;3;5;v14.18;Worlds_MainEvent_24;1;3;3;1;Blue;00:20:58;Poppy;Aurora;Ziggs;Kaisa;Yone;Akali;Win;15;10;0;0;14;6;0;2;Perfect_KDA;205;12;0;9.8;10934;521;0.251;13;7;1;3;3;0.62;0.33;0.14;0.05;0.088;19104;13077;3460;2567;911;0.356;0.38;0.533;1;1;0;0;0;1777;2;1286;1;0;10780;10780;4718;0;11060;0;23;199;11065;0;6;18;0;0
Supa;ADCARRY;MDK;GAM;EasyLove;07.10.2024;3;5;v14.18;Worlds_MainEvent_24;1;3;3;1;Blue;00:20:58;Jax;Alistar;Nautilus;Rakan;Ziggs;Kaisa;Win;15;10;0;0;13;3;2;6;4.5;199;0;0;9.5;10252;489;0.236;29;12;8;5;5;1.38;0.57;0.24;0.38;0.197;12653;798;11705;150;603;0.236;0.43;0.6;0;0;0;0;0;1031;13;1209;2;0;11158;11158;618;0;3027;0;11;179;7984;77;7;20;0;150
Alvaro;SUPPORT;MDK;GAM;Elio;07.10.2024;3;5;v14.18;Worlds_MainEvent_24;1;3;3;1;Blue;00:20:58;Rell;Leona;Gnar;Smolder;Nautilus;Rakan;Win;15;10;0;0;10;0;2;11;5.5;28;0;0;1.3;5921;282;0.136;64;26;12;6;6;3.05;1.24;0.29;0.57;0.435;6019;2545;3004;470;287;0.112;0.52;0.733;0;0;0;0;0;290;-3;-587;-1;0;1761;1761;593;0;12606;153;43;176;9228;26;9;19;0;0
Kiaya;TOP;GAM;MDK;Myrwn;07.10.2024;3;5;v14.18;Worlds_MainEvent_24;1;3;3;1;Red;00:20:58;Skarner;Shyvana;Akali;Yone;Smolder;Gnar;Loss;6;2;2;0;12;2;5;3;1;152;1;0;7.2;6990;333;0.205;19;11;0;5;5;0.91;0.52;0.24;0;0.133;13441;10980;2461;0;641;0.373;0.24;0.833;1;0;0;0;0;1010;23;329;1;0;1181;1181;1341;0;7649;0;7;124;16140;163;6;18;0;0
